Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q5[ksoftirqd/169]: count 20601, average 433, total 8938006
@q5[openssl]: count 314771, average 433, total 136543124
@q5[kworker/169:2]: count 363, average 464, total 168647

@uc: count 2297, average 5960, total 13690481

@q1[openssl]: count 890, average 2476, total 2204102
@q1[ksoftirqd/169]: count 145, average 2629, total 381237
@q1[kworker/169:2]: count 1, average 19937, total 19937

@q2[openssl]: count 1598, average 650, total 1039436
@q2[ksoftirqd/169]: count 213, average 687, total 146518
@q2[kworker/169:2]: count 1, average 37780, total 37780


@q4[ksoftirqd/169]: count 2440, average 956, total 2334552
@q4[openssl]: count 40388, average 963, total 38924708
@q4[kworker/169:2]: count 2, average 18425, total 36850

@q5[ksoftirqd/169]: count 18774, average 433, total 8145771
@q5[openssl]: count 316727, average 433, total 137362509
@q5[kworker/169:2]: count 15, average 2661, total 39925

@uc: count 2721, average 5773, total 15710105

@q1[openssl]: count 965, average 2497, total 2410166
@q1[ksoftirqd/169]: count 161, average 2768, total 445706
@q1[kworker/169:2]: count 1, average 20298, total 20298

@q2[openssl]: count 1552, average 648, total 1006963
@q2[ksoftirqd/169]: count 235, average 659, total 154971
@q2[kworker/169:2]: count 1, average 38773, total 38773


@q4[openssl]: count 39972, average 963, total 38530907
@q4[ksoftirqd/169]: count 3129, average 966, total 3024605
@q4[kworker/169:2]: count 1, average 37962, total 37962

@q5[ksoftirqd/169]: count 24212, average 433, total 10504455
@q5[openssl]: count 313405, average 433, total 135931251
@q5[kworker/169:2]: count 7, average 5268, total 36881

@uc: count 3058, average 13852, total 42360807

@q1[openssl]: count 903, average 2464, total 2225229
@q1[ksoftirqd/169]: count 148, average 2611, total 386515

@q2[openssl]: count 1583, average 648, total 1026978
@q2[ksoftirqd/169]: count 229, average 665, total 152292


@q4[ksoftirqd/169]: count 2614, average 951, total 2487733
@q4[openssl]: count 39868, average 961, total 38323199

@q5[ksoftirqd/169]: count 20144, average 433, total 8737429
@q5[openssl]: count 312490, average 433, total 135385039

@uc: count 2497, average 7654, total 19114498

@q1[openssl]: count 840, average 2365, total 1987038
@q1[ksoftirqd/169]: count 143, average 2659, total 380262

@q2[openssl]: count 1564, average 646, total 1011120
@q2[ksoftirqd/169]: count 239, average 658, total 157455


@q4[openssl]: count 39130, average 960, total 37583448
@q4[ksoftirqd/169]: count 2892, average 962, total 2783173

@q5[openssl]: count 306506, average 433, total 132830871
@q5[ksoftirqd/169]: count 22316, average 434, total 9692496

@uc: count 2221, average 6307, total 14009062

