,cn,comm,ues,count,pid,time,time (ms),tool,diff
290,open5gs,open5gs-mmed,50,1584,51817,14:44:47,545342.993446,sysprocess,1.575
291,open5gs,systemd-network,50,100,15336,14:44:47,64119.171914,sysprocess,0.3
292,oai,dbus-daemon,50,242,587,17:54:48,627.181756,sysprocess,-0.1
293,oai,rsyslogd,50,1383,599,17:54:48,135068.228417,sysprocess,2.825
294,free5gc,upf,50,136,18565,06:45:00,120038.46713,sysprocess,3.15
295,oai,irqbalance,50,84,593,17:54:48,59994.612195,sysprocess,-0.4
296,open5gs,snapd,50,4638,692,14:44:47,21337.994271,sysprocess,-7.55
297,oai,python3,50,104,82196,17:54:48,70002.257419,sysprocess,-0.7
298,free5gc,udisksd,50,42,700,06:45:00,3.698257,sysprocess,0.3
299,free5gc,udr,50,145296,18620,06:45:00,266389.573056,sysprocess,3420.15
300,oai,multipathd,50,292,459,17:54:48,233015.421324,sysprocess,0.0
301,open5gs,systemd-journal,50,3255,328,14:44:47,68718.138245,sysprocess,23.25
302,free5gc,accounts-daemon,50,481,36853,06:45:00,67999.726995,sysprocess,4.0
303,free5gc,[unknown],50,119,72261,06:45:00,3971.956085,sysprocess,0.15
304,oai,nrf,50,69512,82224,17:54:48,127955.567625,sysprocess,-0.975
305,open5gs,systemd,50,180,1,14:44:47,61519.887199,sysprocess,0.0
306,free5gc,udm,50,138513,18639,06:45:00,27506.717822,sysprocess,3213.825
307,free5gc,systemd-udevd,50,238,54380,06:45:00,4001.556922,sysprocess,4.25
308,oai,smf,50,1415,82241,17:54:48,180067.00476,sysprocess,-0.075
309,oai,mysqld,50,22927,717,17:54:48,1643663.802895,sysprocess,-0.475
310,free5gc,ModemManager,50,44,772,06:45:00,2.434492,sysprocess,0.2
311,open5gs,rsyslogd,50,3350,691,14:44:47,134704.413547,sysprocess,53.075
312,open5gs,python3,50,86,51773,14:44:47,70069.774013,sysprocess,1.1
313,oai,accounts-daemon,50,5897,583,17:54:48,68647.472402,sysprocess,36.0
314,open5gs,systemd-udevd,50,3982,364,14:44:47,65212.266895,sysprocess,34.15555555555556
315,oai,ausf,50,69189,82223,17:54:48,67849.38811,sysprocess,-10.975
316,oai,snapd,50,2785,602,17:54:48,61156.780676,sysprocess,7.2
317,free5gc,amf,50,237796,18598,06:45:00,314221.706944,sysprocess,5453.425
318,oai,[unknown],50,2033,82058,17:54:48,4129.56622,sysprocess,15.675
319,oai,ausf,100,70065,100129,23:11:20,67797.450058,sysprocess,17.52
320,open5gs,open5gs-nrfd,100,1726,61589,15:44:24,61641.08991,sysprocess,-3.86
321,free5gc,udr,100,300892,18620,07:23:53,254845.624931,sysprocess,3111.92
322,open5gs,dbus-daemon,100,106,681,15:44:24,3.291712,sysprocess,-0.2
323,open5gs,systemd-udevd,100,3792,364,15:44:24,12282.027052,sysprocess,-3.8
324,free5gc,rsyslogd,100,106,35679,07:23:53,130119.301407,sysprocess,0.06
325,oai,multipathd,100,436,459,23:11:20,263015.265598,sysprocess,2.88
326,free5gc,nssf,100,132,18646,07:23:53,11.304567,sysprocess,-0.3
327,open5gs,open5gs-hssd,100,1558,61605,15:44:24,545346.428758,sysprocess,0.66
328,open5gs,open5gs-scpd,100,3187,61602,15:44:24,61580.355715,sysprocess,-312.2
329,open5gs,accounts-daemon,100,425,677,15:44:24,68579.58778,sysprocess,-0.84
330,oai,accounts-daemon,100,7528,583,23:11:20,69011.82538,sysprocess,32.62
331,free5gc,[unknown],100,116,77182,07:23:53,0.982749,sysprocess,-0.06
332,free5gc,udm,100,281622,18639,07:23:53,43028.432525,sysprocess,2862.18
333,free5gc,smf,100,136,18610,07:23:53,10.884765,sysprocess,-0.22
334,free5gc,irqbalance,100,106,688,07:23:53,60002.757155,sysprocess,0.16
335,free5gc,nrf,100,195860,18587,07:23:53,264541.100244,sysprocess,1640.76
336,open5gs,open5gs-pcrfd,100,1637,61607,15:44:24,545352.18439,sysprocess,2.24
337,open5gs,irqbalance,100,92,687,15:44:24,60008.353385,sysprocess,-0.16
