Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.





@uc: count 590, average 65740, total 38786673






@uc: count 143, average 14867, total 2125996






@uc: count 214, average 11762, total 2517130






@q5[iperf]: count 18, average 1390, total 25026

@uc: count 20264, average 2624, total 53181926

@q1[swapper/169]: count 387, average 3224, total 1247926
@q1[ksoftirqd/169]: count 75, average 3841, total 288085
@q1[iperf]: count 3, average 14243, total 42730

@q2[swapper/169]: count 1560, average 1047, total 1633502
@q2[ksoftirqd/169]: count 164, average 1233, total 202318
@q2[iperf]: count 3, average 6809, total 20429


@q4[swapper/169]: count 18895, average 1635, total 30895392
@q4[ksoftirqd/169]: count 949, average 1636, total 1552918
@q4[iperf]: count 3, average 6939, total 20819

@q5[swapper/169]: count 145959, average 711, total 103805406
@q5[ksoftirqd/169]: count 7088, average 714, total 5066330
@q5[iperf]: count 12, average 2126, total 25517

@uc: count 20258, average 2409, total 48805267

@q1[swapper/169]: count 393, average 3321, total 1305235
@q1[ksoftirqd/169]: count 68, average 3647, total 248045
@q1[iperf]: count 2, average 22171, total 44343

@q2[swapper/169]: count 1572, average 1051, total 1653074
@q2[ksoftirqd/169]: count 167, average 1213, total 202675
@q2[iperf]: count 2, average 11402, total 22804


@q4[ksoftirqd/169]: count 936, average 1614, total 1510808
@q4[swapper/169]: count 18908, average 1634, total 30911651
@q4[iperf]: count 2, average 10425, total 20850

@q5[swapper/169]: count 146097, average 711, total 103975687
@q5[ksoftirqd/169]: count 6983, average 716, total 5002355
@q5[iperf]: count 7, average 3340, total 23384

@uc: count 20345, average 2465, total 50164701

@q1[swapper/169]: count 394, average 3268, total 1287755
@q1[ksoftirqd/169]: count 63, average 3581, total 225642
@q1[iperf]: count 1, average 33984, total 33984

@q2[swapper/169]: count 1580, average 1062, total 1678215
@q2[ksoftirqd/169]: count 145, average 1138, total 165136
@q2[iperf]: count 1, average 17222, total 17222


@q4[ksoftirqd/169]: count 875, average 1614, total 1412409
@q4[swapper/169]: count 18952, average 1637, total 31034669
@q4[iperf]: count 1, average 16401, total 16401

@q5[swapper/169]: count 146447, average 711, total 104203838
@q5[ksoftirqd/169]: count 6578, average 713, total 4694973
@q5[iperf]: count 4, average 4233, total 16932

@uc: count 20635, average 2429, total 50134186

@q1[swapper/169]: count 383, average 3454, total 1322900
@q1[ksoftirqd/169]: count 67, average 3545, total 237555
@q1[iperf]: count 3, average 16273, total 48821

@q2[swapper/169]: count 1509, average 1077, total 1626292
