Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.





@uc: count 507, average 101174, total 51295282
@uc: count 2150, average 6407, total 13777157

@q1[openssl]: count 675, average 1737, total 1173131
@q1[ksoftirqd/169]: count 51, average 1846, total 94147

@q2[openssl]: count 1442, average 607, total 875669
@q2[ksoftirqd/169]: count 107, average 649, total 69472


@q4[ksoftirqd/169]: count 715, average 943, total 674769
@q4[openssl]: count 30024, average 956, total 28716109

@q5[openssl]: count 232757, average 429, total 99949747
@q5[ksoftirqd/169]: count 5262, average 431, total 2271349

@uc: count 1805, average 5739, total 10358963

@q1[openssl]: count 680, average 1797, total 1222544
@q1[ksoftirqd/169]: count 47, average 2085, total 98035

@q2[openssl]: count 1491, average 603, total 900366
@q2[ksoftirqd/169]: count 95, average 683, total 64959


@q4[ksoftirqd/169]: count 677, average 957, total 648243
@q4[openssl]: count 30087, average 957, total 28810140

@q5[openssl]: count 233079, average 429, total 100222105
@q5[ksoftirqd/169]: count 5053, average 433, total 2190991

@uc: count 2582, average 14063, total 36312286

@q1[openssl]: count 680, average 1806, total 1228314
@q1[ksoftirqd/169]: count 44, average 2034, total 89532

@q2[openssl]: count 1403, average 609, total 854489
@q2[ksoftirqd/169]: count 90, average 686, total 61798
@q2[kworker/169:1]: count 1, average 13605, total 13605


@q4[ksoftirqd/169]: count 612, average 953, total 583681
@q4[openssl]: count 30076, average 959, total 28846146
@q4[kworker/169:1]: count 32, average 2129, total 68144

@q5[openssl]: count 233370, average 429, total 100316296
@q5[ksoftirqd/169]: count 4541, average 433, total 1967238
@q5[kworker/169:1]: count 253, average 544, total 137683

@uc: count 2118, average 6791, total 14383379

@q1[openssl]: count 667, average 1773, total 1183081
@q1[ksoftirqd/169]: count 52, average 2043, total 106242
@q1[kworker/169:1]: count 1, average 15949, total 15949

@q2[openssl]: count 1405, average 617, total 867391
@q2[ksoftirqd/169]: count 110, average 675, total 74320
