Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@uc: count 29903, average 2432, total 72748715

@q1[swapper/169]: count 479, average 2716, total 1300969
@q1[ksoftirqd/169]: count 118, average 2950, total 348103

@q2[swapper/169]: count 738, average 651, total 481145
@q2[ksoftirqd/169]: count 189, average 810, total 153248
@q2[kworker/169:2]: count 2, average 15013, total 30026


@q4[swapper/169]: count 23190, average 1026, total 23811493
@q4[kworker/169:2]: count 50, average 1376, total 68826
@q4[ksoftirqd/169]: count 21802, average 1403, total 30605852

@q5[swapper/169]: count 182469, average 461, total 84229808
@q5[kworker/169:2]: count 395, average 475, total 187655
@q5[ksoftirqd/169]: count 172893, average 619, total 107061139

@uc: count 29105, average 1646, total 47928099

@q1[swapper/169]: count 459, average 2679, total 1229975
@q1[ksoftirqd/169]: count 136, average 2925, total 397823
@q1[iperf]: count 1, average 38853, total 38853

@q2[swapper/169]: count 728, average 653, total 475941
@q2[ksoftirqd/169]: count 214, average 721, total 154319
@q2[iperf]: count 3, average 6856, total 20568


@q4[swapper/169]: count 21337, average 1034, total 22083578
@q4[iperf]: count 46, average 1223, total 56287
@q4[ksoftirqd/169]: count 22405, average 1447, total 32431738

@q5[iperf]: count 360, average 459, total 165361
@q5[swapper/169]: count 167721, average 464, total 77979512
@q5[ksoftirqd/169]: count 177661, average 637, total 113194772

@uc: count 31125, average 2628, total 81800912

@q1[swapper/169]: count 441, average 2644, total 1166241
@q1[ksoftirqd/169]: count 139, average 2914, total 405085
@q1[iperf]: count 1, average 39594, total 39594

@q2[swapper/169]: count 676, average 645, total 436042
@q2[ksoftirqd/169]: count 201, average 799, total 160642
@q2[iperf]: count 1, average 27922, total 27922


@q4[swapper/169]: count 20910, average 1036, total 21675009
@q4[ksoftirqd/169]: count 22527, average 1459, total 32882828
@q4[iperf]: count 16, average 2445, total 39124

@q5[swapper/169]: count 164440, average 466, total 76759320
@q5[iperf]: count 125, average 573, total 71692
@q5[ksoftirqd/169]: count 178541, average 1279, total 228390176

@uc: count 29820, average 1726, total 51495820

@q1[swapper/169]: count 414, average 2644, total 1094758
@q1[ksoftirqd/169]: count 134, average 3039, total 407315

@q2[swapper/169]: count 631, average 652, total 411453
@q2[ksoftirqd/169]: count 202, average 746, total 150710
@q2[iperf]: count 2, average 13620, total 27241


@q4[swapper/169]: count 19473, average 1046, total 20384847
@q4[ksoftirqd/169]: count 24003, average 1459, total 35041350
@q4[iperf]: count 20, average 1809, total 36193

@q5[swapper/169]: count 153184, average 471, total 72248447
@q5[iperf]: count 157, average 518, total 81462
@q5[ksoftirqd/169]: count 190354, average 644, total 122770708

@uc: count 33103, average 1792, total 59336027

@q1[ksoftirqd/169]: count 125, average 2698, total 337343
@q1[swapper/169]: count 494, average 2745, total 1356312

@q2[swapper/169]: count 746, average 681, total 508508
@q2[ksoftirqd/169]: count 188, average 683, total 128485
@q2[iperf]: count 2, average 11411, total 22823


@q4[swapper/169]: count 22033, average 1027, total 22628189
@q4[ksoftirqd/169]: count 21762, average 1449, total 31548107
@q4[iperf]: count 190, average 1588, total 301827

@q5[swapper/169]: count 173151, average 461, total 79825657
@q5[ksoftirqd/169]: count 172607, average 639, total 110438774
@q5[iperf]: count 1510, average 715, total 1080571

@uc: count 29651, average 1806, total 53558947

@q1[swapper/169]: count 427, average 2634, total 1125101
@q1[ksoftirqd/169]: count 127, average 2943, total 373785

@q2[swapper/169]: count 638, average 647, total 413256
@q2[ksoftirqd/169]: count 195, average 808, total 157610


@q4[swapper/169]: count 20767, average 1048, total 21778401
@q4[ksoftirqd/169]: count 22928, average 1463, total 33548434
